UserId,VisitMonth,Attraction,UserVisitFrequency,UserHolidayVisitor,UserAttractionVisitCount,UserEngagementScore,UserCountryVariety,UserAttractionVariety,AttractionEngagementScore,UserGroupAffinity,VisitMode
87719,5,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,0.0,Couples
20242,5,Tegalalang Rice Terrace,2,0.5,1,10.0,1,2,24156.0,0.0,Solo
17008,4,Tegalalang Rice Terrace,2,0.0,1,9.0,1,2,24156.0,0.0,Couples
57733,5,Tegalalang Rice Terrace,3,1.0,1,10.0,1,3,24156.0,0.0,Couples
73733,5,Tegalalang Rice Terrace,2,1.0,1,9.0,1,2,24156.0,0.0,Couples
48638,5,Tegalalang Rice Terrace,3,1.0,2,8.0,1,2,24156.0,0.0,Couples
49317,5,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,1.0,Friends
78440,3,Tegalalang Rice Terrace,2,0.0,1,7.0,1,2,24156.0,0.0,Couples
83963,5,Tegalalang Rice Terrace,2,1.0,1,7.0,1,2,24156.0,0.5,Couples
16032,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Couples
82277,5,Tegalalang Rice Terrace,1,1.0,1,4.0,1,1,24156.0,0.0,Couples
53075,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
44260,4,Tegalalang Rice Terrace,4,0.25,1,18.0,1,3,24156.0,0.75,Family
11265,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
33699,5,Tegalalang Rice Terrace,2,1.0,1,7.0,1,2,24156.0,0.0,Couples
40988,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
2603,12,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,1.0,Family
55244,4,Tegalalang Rice Terrace,2,0.0,1,9.0,1,2,24156.0,0.0,Couples
84704,5,Tegalalang Rice Terrace,1,1.0,1,2.0,1,1,24156.0,0.0,Solo
2259,5,Tegalalang Rice Terrace,3,0.6666666666666666,1,13.0,1,3,24156.0,0.6666666666666666,Friends
46214,5,Tegalalang Rice Terrace,2,1.0,1,7.0,1,2,24156.0,1.0,Family
47806,5,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,0.0,Couples
76725,4,Tegalalang Rice Terrace,5,0.0,1,21.0,1,5,24156.0,0.4,Couples
9098,5,Tegalalang Rice Terrace,2,1.0,1,10.0,1,2,24156.0,0.0,Couples
6882,4,Tegalalang Rice Terrace,5,0.0,2,24.0,1,2,24156.0,0.8,Family
53385,11,Tegalalang Rice Terrace,3,0.0,1,14.0,1,3,24156.0,0.0,Couples
